movie_id,movie_title,release_year,duration,country,rating,revenue,votes,score
Tt0111161,The Shawshank Redemption,02-10-95,142,USA,R,28815245,2278845,9.3
Tt0068646,The Godfather,09-21-72,175,USA,R,246120974,1572674,9.2
Tt0468569,The Dark Knight,07-23-08,152,USA,PG-13,1005455211,2241615,9
Tt0071562,The Godfather: Part Ii,09-25-75,220,USA,R,408035783,1098714,9
Tt0110912,Pulp Fiction,10-28-94,135,USA,R,222831817,1780147,8.9
Tt0167260,The Lord Of The Rings: The Return Of The King,02-22-04,201,New Zealand,PG-13,1142271098,1604280,8.9
Tt0108052,Schindler's List,03-11-94,135,USA,R,322287794,1183248,8.9
Tt0050083,12 Angry Men,09-04-57,96,USA,Unrated,576,668473,8.9
Tt1375666,Inception,09-24-10,148,USA,PG-13,869784991,2002816,8.8
Tt0137523,Fight Club,10-29-99,135,UK,R,101218804,1807440,8.8
Tt0109830,Forrest Gump,10-06-94,142,USA,PG-13,678229452,1755490,8.8
Tt0120737,The Lord Of The Rings: The Fellowship Of The Ring,01-18-02,178,New Zealand,PG-13,887934303,1619920,8.8
Tt0060196,"Il Buono, Il Brutto, Il Cattivo",12-23-66,161,Italy,Unrated,25252481,672499,8.8
Tt0133093,The Matrix,05-07-99,135,USA,R,465718588,1632315,8.7
Tt0167261,The Lord Of The Rings: The Two Towers,01-16-03,179,New Zealand,PG-13,951227416,1449778,8.7
Tt0080684,Star Wars: Episode V - The Empire Strikes Back,09-19-80,135,USA,PG-13,549265501,1132073,8.7
Tt0099685,Goodfellas,09-20-90,146,USA,R,46879633,991505,8.7
Tt0073486,One Flew Over The Cuckoo'S Nest,11-18-76,135,USA,R,108997629,891071,8.7
Tt0816692,Interstellar,11-06-14,169,USA,PG-13,696742056,1449256,8.6
Tt0114369,Se7en,12-15-95,127,USA,R,327333559,1402015,8.6
Tt0102926,The Silence Of The Lambs,03-05-91,118,USA,R,272753884,1234134,8.6
Tt0076759,Star Wars,10-20-77,121,USA,PG,775768912,1204107,8.6
Tt0120815,Saving Private Ryan,10-30-98,169,USA,R,482349603,1203825,8.6
Tt0120689,The Green Mile,10-03-00,189,USA,R,286801374,1112336,8.6
Tt0317248,Cidade De Deus,05-09-03,130,Brazil,R,30680793,685856,8.6
Tt0245429,Sen To Chihiro No Kamikakushi,04-18-03,125,Japan,PG,355467056,626693,8.6
Tt0118799,La Vita è Bella,12-20-97,116,Italy,PG-13,230098753,605648,8.6
Tt6751668,Gisaengchung,11-07-19,132,South Korea,R,257604912,470931,8.6
Tt0038650,It'S A Wonderful Life,03-11-48,130,USA,Pg,6130720,388310,8.6
Tt0047478,Shichinin No Samurai,08-19-55,207,Japan,Unrated,322773,307958,8.6
Tt0172495,Gladiator,05-19-00,155,USA,R,465361176,1308193,8.5
Tt0407887,The Departed,10-27-06,151,USA,R,291465034,1159703,8.5
Tt0482571,The Prestige,12-22-06,130,UK,PG-13,109676311,1155723,8.5
Tt0088763,Back To The Future,10-18-85,116,USA,PG,388774684,1027330,8.5
Tt0120586,American History X,08-27-99,119,USA,R,23875127,1014218,8.5
Tt0110413,Léon,04-07-95,110,France,R,19552639,1007598,8.5
Tt0103064,Terminator 2: Judgment Day,12-19-91,137,USA,R,520884847,974970,8.4
Tt0114814,The Usual Suspects,11-30-95,106,USA,R,23341568,968947,8.4
Tt0110357,The Lion King,11-25-94,88,USA,G,968511805,917248,8.4
Tt7286456,Joker,10-03-19,122,USA,R,1074251311,855097,8.4
Tt1675434,Intouchables,02-24-12,112,France,R,426588510,736691,8.4
Tt0253474,The Pianist,10-25-02,150,UK,R,120072577,707942,8.4
Tt2582802,Whiplash,02-12-15,106,USA,R,48983260,690732,8.4
Tt0054215,Psycho,10-28-60,109,USA,R,32008644,586765,8.3
Tt0034583,Casablanca,11-21-46,102,USA,PG,4374761,509953,8.3
Tt0064116,C'Era Una Volta Il West,12-21-68,165,Italy,PG-13,112911,295220,8.3
Tt0095327,Hotaru No Haka,10-11-15,89,Japan,Unrated,516962,225438,8.3
Tt0095765,Nuovo Cinema Paradiso,11-17-88,155,Italy,R,13826605,223050,8.3
Tt0027977,Modern Times,03-12-37,87,USA,G,457688,211250,8.3
Tt1345836,The Dark Knight Rises,08-29-12,164,UK,PG-13,1081133191,1480582,8.3
Tt1853728,Django Unchained,01-17-13,165,USA,R,425368238,1317856,8.3
Tt0209144,Memento,01-19-01,113,USA,R,39970386,1098879,8.2
Tt0910970,Wall·e,10-17-08,98,USA,G,521311860,974734,8.2
Tt0081505,The Shining,12-22-80,146,UK,R,46520613,869480,8.2
Tt0082971,Raiders Of The Lost Ark,06-12-81,115,USA,PG,390133212,865510,8.2
Tt4154756,Avengers: Infinity War,04-25-18,149,USA,PG-13,2048359754,796486,8.2
Tt0078748,Alien,10-25-79,117,UK,R,108110316,768874,8.2
Tt4154796,Avengers: Endgame,04-24-19,181,USA,PG-13,2797800564,754786,8.2
Tt0078788,Apocalypse Now,12-18-79,147,USA,R,91968688,591251,8.2
Tt0364569,Oldeuboi,05-06-05,120,South Korea,R,15002116,501082,8.1
Tt0057012,Dr. Strangelove Or: How I Learned To Stop Worrying And Love The Bomb,04-03-64,95,UK,PG-13,9443876,441115,8.1
Tt0047396,Rear Window,04-14-55,112,USA,PG,37032034,432390,8.1
Tt2380307,Coco,12-28-17,105,USA,PG,807083670,352455,8.1
Tt0405094,Das Leben Der Anderen,04-06-07,137,Germany,R,77356942,349642,8.1
Tt4633694,Spider-Man: Into The Spider-Verse,12-25-18,117,USA,PG,375540831,335892,8.1
Tt1187043,3 idiots,12-25-09,170,India,PG-13,60262836,332217,8.1
Tt0119698,Mononoke-Hime,05-19-00,134,Japan,PG-13,169785629,331045,8
Tt0087843,Once Upon A Time In America,09-28-84,229,USA,R,5472914,302317,8
Tt0032553,The Great Dictator,06-25-45,125,USA,G,969879,197381,8
Tt0043014,Sunset Boulevard,03-06-51,110,USA,Unrated,299645,195789,8
Tt0361748,Inglourious Basterds,10-02-09,153,Germany,R,321455689,1229958,8
Tt0169547,American Beauty,01-21-00,122,USA,R,356296601,1049009,8
Tt0112573,Braveheart,12-01-95,178,USA,R,213216216,941683,7.9
Tt0086190,Star Wars: Episode Vi - Return Of The Jedi,10-21-83,131,USA,PG,475347111,928036,7.9
Tt0105236,Reservoir Dogs,10-09-92,99,USA,R,2889963,896551,7.9
Tt0338013,Eternal Sunshine Of The Spotless Mind,10-22-04,108,USA,R,74036715,889875,7.9
Tt0114709,Toy Story,03-22-96,81,USA,G,404265438,864461,7.9
Tt0119217,Good Will Hunting,03-06-98,126,USA,R,225933435,837379,7.8
Tt0208092,Snatch,03-16-01,104,UK,R,83557872,766589,7.8
Tt0180093,Requiem For A Dream,12-15-00,102,USA,R,7390108,748291,7.8
Tt0066921,A Clockwork Orange,09-07-72,136,UK,R,26903440,740301,7.8
Tt0435761,Toy Story 3,07-07-10,103,USA,G,1066969703,739717,7.8
Tt0086250,Scarface,12-09-83,170,USA,R,66023585,721343,7.8
Tt0075314,Taxi Driver,02-08-76,114,USA,R,28441292,703264,7.7
Tt0211915,Le Fabuleux Destin D'Amélie Poulain,01-25-02,122,France,R,173924742,690480,7.7
Tt0093058,Full Metal Jacket,10-09-87,116,UK,R,46357676,658175,7.7
Tt0090605,Aliens,09-24-86,137,USA,R,131384634,639500,7.7
Tt0062622,2001: A Space Odyssey,12-12-68,149,UK,G,68989547,587866,7.6
Tt0033467,Citizen Kane,11-25-48,119,USA,Unrated,1594107,389322,7.6
Tt8579674,1917,01-23-20,119,USA,R,384857224,362897,7.6
Tt0086879,Amadeus,02-15-85,160,USA,R,52066791,361028,7.6
Tt0052357,Vertigo,11-18-58,128,USA,PG,7796389,352786,7.5
Tt0053125,North By Northwest,10-28-59,136,USA,Unrated,73446,291628,7.5
Tt2106476,Jagten,11-22-12,115,Denmark,R,15843274,269616,7.5
Tt0056172,Lawrence Of Arabia,10-29-63,228,UK,PG,45710874,261504,7.5
Tt0070735,The Sting,03-21-74,129,USA,PG,156000000,236285,7.5
Tt0082096,Das Boot,03-18-82,149,West Germany,R,11487676,226427,7.5
Tt0059578,Per Qualche Dollaro In Più,12-20-65,132,Italy,Unrated,15000000,226039,7.4
Tt1832382,Jodaeiye Nader Az Simin,10-21-11,123,Iran,PG-13,22926076,214165,7.4
Tt0045152,Singin' In The Rain,02-05-53,103,USA,G,1864182,213152,7.4
